algorithm,run,time_ms,valid,branch_pts,path_tiles
tower_path,1,0.473,True,45,78
tower_path,2,0.279,True,20,53
tower_path,3,0.254,True,16,57
tower_path,4,0.241,True,22,46
tower_path,5,0.385,True,45,71
tower_path,6,0.349,True,35,75
tower_path,7,0.197,True,12,42
tower_path,8,0.197,True,5,42
tower_path,9,0.343,True,33,62
tower_path,10,0.221,True,17,59
tower_path,11,0.208,True,14,45
tower_path,12,0.195,True,8,40
tower_path,13,0.269,True,14,53
tower_path,14,0.219,True,18,47
tower_path,15,0.273,True,23,51
tower_path,16,0.286,True,31,66
tower_path,17,0.334,True,28,63
tower_path,18,0.249,True,15,47
tower_path,19,0.198,True,14,45
tower_path,20,0.278,True,21,57
maze_loops,1,0.412,True,40,173
maze_loops,2,0.443,True,33,171
maze_loops,3,0.412,True,45,179
maze_loops,4,0.387,True,39,173
maze_loops,5,0.42,True,81,193
maze_loops,6,0.403,True,89,194
maze_loops,7,0.362,True,26,168
maze_loops,8,0.375,True,42,176
maze_loops,9,0.386,True,35,173
maze_loops,10,0.37,True,29,170
maze_loops,11,0.376,True,43,176
maze_loops,12,0.397,True,85,193
maze_loops,13,0.489,True,90,194
maze_loops,14,0.511,True,75,188
maze_loops,15,0.469,True,105,199
maze_loops,16,0.438,True,90,196
maze_loops,17,0.399,True,50,178
maze_loops,18,0.397,True,60,183
maze_loops,19,0.372,True,32,171
maze_loops,20,0.388,True,54,183
prim_loops,1,0.338,True,117,205
prim_loops,2,0.303,True,74,185
prim_loops,3,0.285,True,53,183
prim_loops,4,0.269,True,67,180
prim_loops,5,0.311,True,100,202
prim_loops,6,0.284,True,86,193
prim_loops,7,0.265,True,55,175
prim_loops,8,0.262,True,56,176
prim_loops,9,0.28,True,74,190
prim_loops,10,0.29,True,77,190
prim_loops,11,0.3,True,89,197
prim_loops,12,0.312,True,126,211
prim_loops,13,0.309,True,126,212
prim_loops,14,0.271,True,45,174
prim_loops,15,0.316,True,131,210
prim_loops,16,0.395,True,118,207
prim_loops,17,0.338,True,101,197
prim_loops,18,0.31,True,86,194
prim_loops,19,0.319,True,131,212
prim_loops,20,0.265,True,58,174
